lod,lg,ss,count,prop_snps,occurrence,spurious,LG count,
15,1,Super-Scaffold_2,9061,72.17619882,1,0,1,
15,2,Super-Scaffold_1,1,0.015807777,,1,,
15,2,Super-Scaffold_10,1,0.021810251,,1,,
15,2,Super-Scaffold_100000100066,2,40,,?,,
15,2,Super-Scaffold_1000006,66,1.296150825,,?,,
15,2,Super-Scaffold_14,8740,95.69692325,1,0,2,
15,2,Super-Scaffold_16,1,0.017199862,,1,,
15,2,Super-Scaffold_19,1,0.04178855,,1,,
15,2,Super-Scaffold_2,5,0.039827943,,1,,
15,2,Super-Scaffold_20,1,0.053163211,,1,,
15,2,Super-Scaffold_200000105744,1,16.66666667,,1,,
15,2,Super-Scaffold_21,1,0.023282887,,1,,
15,2,Super-Scaffold_22,9,0.157977883,,1,,
15,2,Super-Scaffold_23,2,0.051506567,,1,,
15,2,Super-Scaffold_29,2,0.070175439,,1,,
15,2,Super-Scaffold_40,1,0.014058766,,1,,
15,2,Super-Scaffold_6,1,0.013614704,,1,,
15,2,Super-Scaffold_7,56,0.90776463,,1,,
15,3,Super-Scaffold_6,7035,95.7794418,1,0,3,
15,4,Super-Scaffold_40,6948,97.68030367,1,0,4,
15,5,Super-Scaffold_9,6292,95.24674538,1,0,5,
15,6,Super-Scaffold_38,6279,94.40685611,1,0,6,
15,7,Super-Scaffold_1,6127,96.85425229,1,0,7,
15,8,Super-Scaffold_7,5887,95.42875669,1,0,8,
15,9,Super-Scaffold_18,5693,97.01772324,1,0,9,
15,10,Super-Scaffold_16,5512,94.80564155,1,0,10,
15,11,Super-Scaffold_22,5419,95.12023872,1,0,11,
15,12,Super-Scaffold_45,5414,96.45465883,1,0,12,
15,13,Super-Scaffold_27,4853,98.7184703,1,0,13,
15,14,Super-Scaffold_1000006,4698,92.26237235,1,0,14,
15,15,Super-Scaffold_10,4470,97.49182116,1,0,15,
15,16,Super-Scaffold_21,4122,95.97206054,1,0,16,
15,17,Super-Scaffold_48,3893,93.60423179,1,0,17,
15,18,Super-Scaffold_23,3650,93.99948493,1,0,18,
15,19,Super-Scaffold_26,3611,93.9630497,1,0,19,
15,20,Super-Scaffold_3,3008,96.19443556,1,0,20,
15,20,Super-Scaffold_49,335,95.98853868,1,0,20,
15,21,Super-Scaffold_17,3308,94.51428571,1,0,21,
15,22,Super-Scaffold_8,3046,97.13010204,1,0,22,
15,23,Super-Scaffold_5,3025,93.07692308,1,0,23,
15,24,Super-Scaffold_2,2962,23.5940736,2,0,24,
15,25,Super-Scaffold_28,2955,96.34822302,1,0,25,
15,26,Super-Scaffold_46,2937,92.06896552,1,0,26,
15,27,Super-Scaffold_41,2747,94.46354883,1,0,27,
15,28,Super-Scaffold_33,2731,93.88105878,1,0,28,
