ss start end thetaxN
ss21 0 1000000 0.005690996230982224
ss21 1000000 2000000 0.00952167674384854
ss21 2000000 3000000 0.005241600703740687
ss21 3000000 4000000 0.0019582534334440503
ss21 4000000 5000000 0.001981884314492153
ss21 5000000 6000000 0.0036952666130054884
ss21 6000000 7000000 0.0015876189388773084
ss21 7000000 8000000 0.0018144479649233472
ss21 8000000 9000000 0.0017451869411629383
ss21 9000000 10000000 0.0034281374775685072
ss21 10000000 11000000 0.0027049030154703215
ss21 11000000 12000000 0.0022544008033932705
ss21 12000000 13000000 0.0011232714190775367
ss21 13000000 14000000 8.780601300483052e-4
ss21 14000000 15000000 0.00458842070657898
ss21 15000000 16000000 0.008913974226820805
ss21 16000000 17000000 0.0076789735466947255
ss21 17000000 18000000 0.014072142856647502
ss21 18000000 19000000 0.012392592633478153
ss21 19000000 20000000 0.006066033845694065
ss21 20000000 21000000 0.01950886967099642
ss21 21000000 22000000 0.021969712279618827
ss21 22000000 23000000 0.011045016848574878
ss21 23000000 23061276 5.982310182185712e-5
