ss start end thetaxN
ss21 0 10000 4.05380977848038e-5
ss21 10000 20000 2.862998086426499e-4
ss21 20000 30000 2.1483880560155803e-4
ss21 30000 40000 9.242489292635543e-6
ss21 40000 50000 1.481393186795356e-5
ss21 50000 60000 3.2267246829213687e-4
ss21 60000 70000 1.0509368153696722e-4
ss21 70000 80000 5.77311333444624e-5
ss21 80000 90000 2.303798473775593e-5
ss21 90000 100000 1.7558529447656e-5
ss21 100000 110000 1.5375381045089576e-5
ss21 110000 120000 1.1398375570587622e-5
ss21 120000 130000 1.1398375570587622e-5
ss21 130000 140000 9.768202152467091e-5
ss21 140000 150000 9.729033891226769e-5
ss21 150000 160000 5.1503301371271605e-5
ss21 160000 170000 6.0596135327855774e-5
ss21 170000 180000 8.176643472822292e-5
ss21 180000 190000 2.214959060763161e-4
ss21 190000 200000 7.249499209615987e-6
ss21 200000 210000 1.586285423622329e-5
ss21 210000 220000 1.3671888371420213e-4
ss21 220000 230000 2.2909286373972838e-5
ss21 230000 240000 4.977729576337817e-4
ss21 240000 250000 2.1172386848243113e-5
ss21 250000 260000 6.658593770032277e-6
ss21 260000 270000 6.710909880803275e-6
ss21 270000 280000 1.1262315062128405e-5
ss21 280000 290000 1.4337329933414551e-5
ss21 290000 300000 1.3323174702466267e-5
ss21 300000 310000 9.889246232470907e-6
ss21 310000 320000 9.227081109205654e-6
ss21 320000 330000 3.6087959049071946e-4
ss21 330000 340000 7.09397346725886e-4
ss21 340000 350000 1.3893573011557209e-5
ss21 350000 360000 9.2316208050981e-6
ss21 360000 370000 9.183408706944275e-6
ss21 370000 380000 2.950020504510267e-4
ss21 380000 390000 0.0012157535666727462
ss21 390000 400000 8.50076919158998e-5
ss21 400000 410000 6.816540634442958e-5
ss21 410000 420000 1.1002130433084974e-4
ss21 420000 430000 2.9736739640095084e-4
ss21 430000 440000 4.2217899608296804e-5
ss21 440000 450000 3.250178179653592e-5
ss21 450000 460000 3.04672500801411e-5
ss21 460000 470000 0.0012390580846173764
ss21 470000 480000 4.457712033809437e-5
ss21 480000 490000 5.8344459989534746e-5
ss21 490000 500000 3.1807227785919e-5
ss21 500000 510000 3.7307578969999913e-05
ss21 510000 520000 5.3317579847403096e-5
ss21 520000 530000 3.790566286947379e-5
ss21 530000 540000 4.94668675378216e-5
ss21 540000 550000 6.21037997158085e-5
ss21 550000 560000 5.60041071849359e-5
ss21 560000 570000 5.0943436454050415e-5
ss21 570000 580000 7.700765360948952e-5
ss21 580000 590000 4.21837424498781e-5
ss21 590000 600000 3.686053238653082e-5
ss21 600000 610000 5.329659946280971e-5
ss21 610000 620000 4.5745867773689355e-5
ss21 620000 630000 4.5649229298178226e-5
ss21 630000 640000 4.4902200083471524e-5
ss21 640000 650000 1.552035750402373e-4
ss21 650000 660000 7.373815676638037e-5
ss21 660000 670000 4.5429909520479324e-4
ss21 670000 680000 8.989798706901357e-5
ss21 680000 690000 5.792218147061431e-5
ss21 690000 700000 8.450207467593929e-5
